,Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.,Year
0,1,1,2,780000000.0,780000000.0,taylor swift,The Eras Tour †,2023–2024,56,13928571.0,[1],2023
1,2,1,7[2],579800000.0,579800000.0,beyoncé,Renaissance World Tour,2023,56,10353571.0,[3],2023
2,3,1[4],2[5],411000000.0,560622615.0,madonna,Sticky & Sweet Tour ‡[4][a],2008–2009,85,4835294.0,[6],2008
3,4,2[7],10[7],397300000.0,454751555.0,pink,Beautiful Trauma World Tour,2018–2019,156,2546795.0,[7],2018
4,5,2[4],Unknown,345675146.0,402844849.0,taylor swift,Reputation Stadium Tour,2018,53,6522173.0,[8],2018
5,6,2[4],10[9],305158363.0,388978496.0,madonna,The MDNA Tour,2012,88,3467709.0,[9],2012
6,7,2[10],Unknown,280000000.0,381932682.0,celine dion,Taking Chances World Tour,2008–2009,131,2137405.0,[11],2008
7,7,Unknown,Unknown,257600000.0,257600000.0,pink,Summer Carnival †,2023–2024,41,6282927.0,[12],2023
8,9,Unknown,Unknown,256084556.0,312258401.0,beyoncé,The Formation World Tour,2016,49,5226215.0,[13],2016
9,10,Unknown,Unknown,250400000.0,309141878.0,taylor swift,The 1989 World Tour,2015,85,2945882.0,[14],2015
10,11,Unknown,Unknown,229100000.0,283202896.0,beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606.0,[15][16],2013
11,12,Unknown,14[17],227400000.0,295301479.0,lady gaga,The Monster Ball Tour *,2009–2011,203,1118227.0,[18],2009
12,13,Unknown,Unknown,204000000.0,251856802.0,katy perry,Prismatic World Tour,2014–2015,151,1350993.0,[19],2014
13,14,1[20],Unknown,200000000.0,299676265.0,cher,Living Proof: The Farewell Tour ‡[21][a],2002–2005,325,615385.0,[20],2002
14,15,2[c],Unknown,194000000.0,281617035.0,madonna,Confessions Tour,2006,60,3233333.0,[5],2006
15,16,Unknown,Unknown,184000000.0,227452347.0,pink,The Truth About Love Tour,2013–2014,142,1295775.0,[22],2013
16,17,Unknown,Unknown,170000000.0,213568571.0,lady gaga,Born This Way Ball,2012–2013,98,1734694.0,[d],2012
17,18,Unknown,Unknown,169800000.0,207046755.0,madonna,Rebel Heart Tour,2015–2016,82,2070732.0,[4],2015
18,19,Unknown,Unknown,167700000.0,204486106.0,adele,Adele Live 2016,2016–2017,121,1385950.0,[25],2016
19,20,Unknown,Unknown,150000000.0,185423109.0,taylor swift,The Red Tour,2013–2014,86,1744186.0,[26],2013
